ip,up,upt,dn,dnt
87.98,35053,1375473972.50,466554,1375474725.18
63.236,19074,1375473144.858,1147784,1375473144.858
74.125,628801,1375473792.192,1992873,1375473051.158
17.173,12257,1375473417.968,14544,1375473207.321
141.0,1196,1375473402.2517,74368,1375473402.2517
130.239,34414,1375472925.31,1611380,1375472925.31
74.120,25878,1375475325.923,1203956,1375475325.923
64.50,22144,1375472895.111,1409000,1375472895.111
97.74,61578,1375472892.689,560938,1375474875.63
200.24,6055,1375473027.650,184796,1375472889.347
184.27,33947,1375473498.391,2035944,1375474110.194
184.28,54336,1375473330.318,2615795,1375474515.18
69.171,267031,1375473225.608,60225,1375473942.435
72.26,2729,1375474695.532,69844,1375473552.730
173.194,50531,1375473846.51,2237660,1375474068.3458
166.78,3448,1375474368.28,41803,1375473681.890
176.58,16917,1375473450.314,300898,1375473153.505
190.200,43,1375472883.1200,105,1375472886.103
68.206,43,1375472883.1200,105,1375474911.79
210.89,43,1375472883.1200,0,-1
162.197,43,1375472883.1200,0,-1
98.110,43,1375472883.1200,105,1375472883.1200
184.85,26421,1375474998.50,843554,1375473201.104
112.158,43,1375472883.1200,0,-1
177.40,43,1375472883.1200,98,1375472889.347
178.206,43,1375472883.1200,101,1375472892.689
24.9,43,1375472883.1200,0,-1
195.114,43,1375472883.1200,18,1375474533.149
173.246,15893,1375475151.84,84160,1375475154.333
184.173,22492,1375473513.197,349318,1375474419.78
50.22,6169,1375473477.36,187279,1375473477.36
49.205,43,1375472883.1200,0,-1
50.23,61674,1375473591.112,377490,1375475325.923
125.44,43,1375472883.1200,98,1375472895.111
123.201,13777,1375473954.214,1546,1375473015.1055
117.228,59,1375474098.48,0,-1
54.225,175892,1375472931.717,70715,1375473018.576
200.10,30,1375473174.407,15,1375472883.1200
207.20,22925,1375473201.104,5992,1375474416.138
199.59,64284,1375474491.97,142258,1375473969.383
182.65,5439,1375474236.77,19981,1375474188.282
213.199,6952,1375475004.1965,6737,1375475004.1965
71.19,1113,1375473480.783,8897,1375473225.608
198.178,72,1375474170.123,1522,1375472904.1118
216.200,52269,1375474098.48,297917,1375474149.236
204.13,2598,1375474626.416,13242,1375474626.416
177.44,43,1375472886.103,18,1375472886.103
50.62,11797,1375473750.402,175131,1375473750.402
17.172,8092,1375475328.141,39391,1375474977.90
129.128,12002,1375473333.83,478880,1375473333.83
17.158,15207,1375474053.676,39263,1375473369.150
171.70,8752,1375472898.714,16219,1375472931.717
83.253,43,1375472886.103,0,-1
99.190,43,1375472886.103,0,-1
94.77,43,1375472886.103,105,1375472886.103
60.248,43,1375472886.103,98,1375472886.103
200.60,328,1375473240.36,576,1375473492.755
23.67,11658,1375474338.76,227038,1375473648.324
177.107,43,1375472886.103,53,1375472886.103
38.113,2359,1375474182.2784,1596,1375474182.2784
204.16,2906,1375474482.212,40372,1375472982.20
65.55,43234,1375474839.879,720499,1375474536.109
79.118,297,1375473117.117,201,1375473267.746
89.154,20,1375472886.103,0,-1
173.255,22005,1375473405.78,57027,1375473069.848
180.151,39,1375474098.48,0,-1
98.139,10632,1375474929.255,32251,1375474005.1016
216.145,397,1375473543.2414,1449,1375473543.2414
198.58,1013,1375473849.1215,7111,1375472976.247
76.164,23971,1375473102.1065,172470,1375473753.99
54.230,20952,1375473324.1006,563498,1375474560.71
206.125,7577,1375475373.83,143044,1375475373.83
54.226,5150,1375474662.1595,5519,1375474674.685
184.169,1966,1375473510.192,21080,1375474134.73
74.201,2815,1375473729.116,1739,1375473729.116
125.39,412,1375473105.155,240,1375473201.104
23.61,44279,1375473327.327,1183173,1375473378.1129
199.115,0,-1,398,1375472910.60
173.252,2545,1375474644.43,3402,1375474644.43
66.77,1330,1375473087.69,3713,1375473087.69
46.21,16365,1375473312.114,110508,1375473312.114
193.182,3079,1375474179.71,5636,1375472937.13
128.121,919,1375474491.97,3438,1375474491.97
139.6,0,-1,38,1375472916.359
54.241,1483,1375475205.23,9738,1375475073.2093
93.184,22174,1375473222.1598,844000,1375474236.77
198.203,20654,1375474719.185,296759,1375474719.185
125.63,0,-1,47,1375474098.48
118.97,9248,1375475187.71,117966,1375475187.71
74.122,4720,1375474872.13,2015,1375474713.360
31.13,18605,1375473651.351,303694,1375474698.221
178.187,43,1375472889.347,101,1375473342.1064
42.88,43,1375472889.347,108,1375472889.347
92.46,43,1375472889.347,0,-1
171.94,87,1375472889.347,217,1375472889.347
37.140,87,1375472889.347,105,1375472889.347
81.182,87,1375472889.347,0,-1
209.6,87,1375472889.347,210,1375472889.347
203.109,43,1375472889.347,0,-1
93.46,43,1375472889.347,0,-1
70.61,12127,1375472979.35,175281,1375472979.35
199.7,2947,1375473207.321,13536,1375473207.321
83.254,43,1375472889.347,105,1375472922.88
121.106,43,1375472889.347,98,1375472943.463
68.80,87,1375472889.347,105,1375472889.347
207.255,300,1375473576.3045,228,1375473576.3045
23.38,2726,1375473045.87,34541,1375473045.87
188.56,43,1375472889.347,53,1375472889.347
93.89,43,1375472889.347,0,-1
217.71,43,1375472889.347,0,-1
86.58,1298,1375473999.1459,3655,1375474086.1484
178.236,30,1375472889.347,32,1375475109.2730
184.31,17605,1375473834.30,519869,1375474827.614
82.149,695,1375473831.972,5674,1375472931.717
37.208,43,1375472889.347,0,-1
207.191,4589,1375473120.13,578,1375473906.91
41.102,98,1375474098.48,52,1375472934.276
216.108,54470,1375474602.63,963614,1375474410.697
184.51,53169,1375475061.574,1445156,1375473843.1346
211.165,86,1375474266.455,0,-1
206.190,9856,1375473234.637,272585,1375473234.637
173.79,3677,1375474773.83,15874,1375474716.1149
